[16:32:17.943] [INFO] ScreenCaptureService onCreate
[16:32:17.945] [INFO] onStartCommand engine=NCNN resultCode=-1
[16:32:17.991] [INFO] Model loaded: NCNN
[16:32:18.007] [INFO] Detection started, resolution=1264x2780
[16:32:27.770] [PERF] latency=83ms, fps=7.0, objects=0
[16:32:27.871] [PERF] latency=62ms, fps=8.0, objects=0
[16:32:27.962] [PERF] latency=57ms, fps=8.0, objects=0
[16:32:28.051] [PERF] latency=61ms, fps=9.0, objects=0
[16:32:28.136] [PERF] latency=61ms, fps=9.0, objects=0
[16:32:28.228] [PERF] latency=57ms, fps=10.0, objects=0
[16:32:28.317] [PERF] latency=61ms, fps=10.0, objects=0
[16:32:28.404] [PERF] latency=63ms, fps=11.0, objects=0
[16:32:28.498] [PERF] latency=64ms, fps=11.0, objects=0
[16:32:28.688] [PERF] latency=155ms, fps=10.0, objects=0
[16:32:28.764] [PERF] latency=49ms, fps=11.0, objects=0
[16:32:28.870] [PERF] latency=90ms, fps=11.0, objects=0
[16:32:28.932] [PERF] latency=47ms, fps=11.0, objects=0
[16:32:29.012] [PERF] latency=56ms, fps=11.0, objects=0
[16:32:29.125] [PERF] latency=84ms, fps=11.0, objects=0
[16:32:29.227] [PERF] latency=63ms, fps=11.0, objects=0
[16:32:29.295] [PERF] latency=43ms, fps=11.0, objects=0
[16:32:29.381] [PERF] latency=57ms, fps=11.0, objects=0
[16:32:29.454] [PERF] latency=54ms, fps=11.0, objects=0
[16:32:29.563] [PERF] latency=92ms, fps=11.0, objects=0
[16:32:29.665] [PERF] latency=80ms, fps=12.0, objects=0
[16:32:29.740] [PERF] latency=56ms, fps=12.0, objects=0
[16:32:29.814] [PERF] latency=47ms, fps=12.0, objects=0
[16:32:29.895] [PERF] latency=61ms, fps=12.0, objects=0
[16:32:29.991] [PERF] latency=72ms, fps=12.0, objects=0
[16:32:30.081] [PERF] latency=61ms, fps=12.0, objects=0
[16:32:30.211] [PERF] latency=105ms, fps=12.0, objects=0
[16:32:30.330] [PERF] latency=79ms, fps=11.0, objects=0
[16:32:30.419] [PERF] latency=62ms, fps=11.0, objects=0
[16:32:30.509] [PERF] latency=57ms, fps=11.0, objects=0
[16:32:30.586] [PERF] latency=52ms, fps=11.0, objects=0
[16:32:30.666] [PERF] latency=50ms, fps=11.0, objects=0
[16:32:30.721] [PERF] latency=38ms, fps=12.0, objects=0
[16:32:30.789] [PERF] latency=41ms, fps=12.0, objects=0
[16:32:30.872] [PERF] latency=49ms, fps=12.0, objects=0
[16:32:30.953] [PERF] latency=52ms, fps=12.0, objects=0
[16:32:31.067] [PERF] latency=77ms, fps=12.0, objects=0
[16:32:31.151] [PERF] latency=49ms, fps=12.0, objects=0
[16:32:31.224] [PERF] latency=41ms, fps=12.0, objects=0
